country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Wales,,12/25/2020,,,,,1904,,,,604,"Oxford/AstraZeneca, Pfizer/BioNTech"
Bahrain,BHR,12/26/2020,51556,51556,,1013,4197,3.03,3.03,,2467,"Pfizer/BioNTech, Sinopharm/Beijing"
Canada,CAN,12/26/2020,,33734,,,,,0.09,,,"Moderna, Pfizer/BioNTech"
Cayman Islands,CYM,12/26/2020,0,0,,,,0,0,,,Pfizer/BioNTech
Chile,CHL,12/26/2020,8339,8339,,3140,3960,0.04,0.04,,207,"Pfizer/BioNTech, Sinovac"
China,CHN,12/26/2020,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,12/26/2020,,,,,240,,,,47,Pfizer/BioNTech
England,,12/26/2020,,,,,43317,,,,770,"Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,12/26/2020,283920,283920,,32632,40552,3.28,3.28,,4685,"Moderna, Pfizer/BioNTech"
Mexico,MEX,12/26/2020,,,,,1300,,,,10,Pfizer/BioNTech
Northern Ireland,,12/26/2020,,,,,2084,,,,1101,"Oxford/AstraZeneca, Pfizer/BioNTech"
Qatar,QAT,12/26/2020,,,,,1351,,,,469,Pfizer/BioNTech
Russia,RUS,12/26/2020,,,,,40296,,,,276,Sputnik V
Scotland,,12/26/2020,,,,,5052,,,,925,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,12/26/2020,,,,,3000,,,,347,"Moderna, Pfizer/BioNTech"
United Kingdom,GBR,12/26/2020,,,,,52293,,,,770,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,12/26/2020,1944585,1944585,,,231396,0.58,0.58,,692,"Moderna, Pfizer/BioNTech"
Wales,,12/26/2020,,,,,1840,,,,584,"Oxford/AstraZeneca, Pfizer/BioNTech"
